Age,CO2,Proxy
209.7,665,PALEOSOLS (d13C)
209.6,529,PALEOSOLS (d13C)
209.5,1220,PALEOSOLS (d13C)
209.3,1025,PALEOSOLS (d13C)
209.2,1406,PALEOSOLS (d13C)
209.0,1063,PALEOSOLS (d13C)
208.6,1869,PALEOSOLS (d13C)
208.4,904,PALEOSOLS (d13C)
208.2,1179,PALEOSOLS (d13C)
208.0,964,PALEOSOLS (d13C)
207.4,1978,PALEOSOLS (d13C)
205.15,2440,PALEOSOLS (d13C)
205.15,1850,PALEOSOLS (d13C)
205.15,1941,PALEOSOLS (d13C)
211.9,1123,PALEOSOLS (d13C)
211.9,1180,PALEOSOLS (d13C)
34.2,434,PALEOSOLS (d13C)
2.1,358,STOMATA
5.1,358,STOMATA
7.2,270,STOMATA
8.5,350,STOMATA
10.5,370,STOMATA
2.8,276,STOMATA
3.4,330,STOMATA
4.0,363,STOMATA
4.6,270,STOMATA
168.8,879,STOMATA
200.3,864,STOMATA
205.4,758,STOMATA
205.4,835,STOMATA
44.5,768,STOMATA
168.8,639,STOMATA
285.6,354,STOMATA
316.6,261,STOMATA
400.5,2282,STOMATA
200.7,716,STOMATA
201.3,1535,STOMATA
201.6,702,STOMATA
135.1,1448,STOMATA
172.2,1894,STOMATA
187.7,735,STOMATA
44.5,965,STOMATA
15.2,339,STOMATA
15.3,341,STOMATA
15.3,313,STOMATA
16.5,535,STOMATA
54.2,443,STOMATA
54.3,327,STOMATA
54.7,378,STOMATA
55.6,479,STOMATA
55.9,667,STOMATA
56.1,307,STOMATA
56.1,307,STOMATA
56.1,307,STOMATA
56.1,520,STOMATA
56.2,304,STOMATA
56.4,313,STOMATA
56.5,316,STOMATA
56.6,320,STOMATA
56.7,315,STOMATA
56.7,318,STOMATA
56.7,318,STOMATA
57.2,469,STOMATA
58.1,447,STOMATA
59.9,535,STOMATA
59.9,574,STOMATA
270.6,343,STOMATA
270.6,266,STOMATA
270.6,290,STOMATA
270.6,326,STOMATA
270.6,342,STOMATA
313.5,348,STOMATA
313.5,351,STOMATA
313.5,336,STOMATA
313.5,308,STOMATA
313.5,350,STOMATA
313.5,366,STOMATA
313.5,368,STOMATA
313.5,358,STOMATA
313.5,303,STOMATA
313.5,367,STOMATA
313.5,350,STOMATA
313.5,401,STOMATA
313.5,287,STOMATA
313.5,311,STOMATA
313.5,284,STOMATA
313.5,325,STOMATA
324.0,385,STOMATA
324.0,392,STOMATA
324.0,359,STOMATA
168.4,816,STOMATA
63.8,367,STOMATA
64.1,330,STOMATA
65.4,343,STOMATA
65.4,470,STOMATA
66.5,539,STOMATA
54.3,515,STOMATA
61.1,317,STOMATA
49.9,659,STOMATA
409.2,2836,STOMATA
182.5,1050,STOMATA
182.6,1550,STOMATA
182.7,550,STOMATA
182.8,950,STOMATA
182.9,950,STOMATA
183.0,600,STOMATA
104.1,710,STOMATA
110.4,710,STOMATA
116.5,700,STOMATA
123.0,695,STOMATA
124.7,630,STOMATA
127.9,630,STOMATA
130.2,550,STOMATA
131.4,620,STOMATA
133.0,650,STOMATA
139.5,1442,STOMATA
139.5,1228,STOMATA
139.5,1151,STOMATA
168.0,1031,STOMATA
168.0,926,STOMATA
172.2,896,STOMATA
186.8,942,STOMATA
25.6,588,STOMATA
22.1,333,STOMATA
20.0,332,STOMATA
19.0,397,STOMATA
19.0,459,STOMATA
17.6,374,STOMATA
17.6,341,STOMATA
17.6,388,STOMATA
17.0,393,STOMATA
16.8,425,STOMATA
16.5,393,STOMATA
15.8,564,STOMATA
15.7,555,STOMATA
15.7,552,STOMATA
15.7,449,STOMATA
13.9,287,STOMATA
13.9,293,STOMATA
11.6,332,STOMATA
72.5,559,STOMATA
73.1,568,STOMATA
73.7,572,STOMATA
74.7,589,STOMATA
75.4,593,STOMATA
75.9,695,STOMATA
78.1,568,STOMATA
79.9,582,STOMATA
81.5,585,STOMATA
121.0,867,STOMATA
121.0,837,STOMATA
121.0,784,STOMATA
121.0,573,STOMATA
121.0,1060,STOMATA
121.0,1060,STOMATA
121.0,867,STOMATA
121.0,593,STOMATA
121.0,908,STOMATA
121.0,782,STOMATA
121.0,734,STOMATA
121.0,769,STOMATA
101.8,974,STOMATA
101.8,852,STOMATA
101.8,917,STOMATA
101.8,954,STOMATA
3.9,355,STOMATA
12.0,468,STOMATA
34.5,672,STOMATA
35.5,746,STOMATA
46.4,908,STOMATA
118.0,893,STOMATA
124.7,1008,STOMATA
127.9,592,STOMATA
142.0,813,STOMATA
142.0,736,STOMATA
143.5,972,STOMATA
148.0,736,STOMATA
153.4,939,STOMATA
203.2,908,STOMATA
230.5,813,STOMATA
233.8,789,STOMATA
233.8,825,STOMATA
168.8,1422,STOMATA
168.8,1373,STOMATA
168.8,1296,STOMATA
168.8,1188,STOMATA
168.8,1134,STOMATA
94.5,366,STOMATA
94.4,381,STOMATA
94.3,384,STOMATA
94.3,410,STOMATA
94.2,444,STOMATA
94.1,457,STOMATA
94.1,360,STOMATA
94.1,446,STOMATA
94.1,396,STOMATA
94.1,448,STOMATA
94.1,508,STOMATA
94.0,485,STOMATA
94.0,425,STOMATA
94.0,466,STOMATA
94.0,370,STOMATA
93.9,431,STOMATA
93.9,436,STOMATA
50.6,600,STOMATA
50.6,600,STOMATA
50.6,600,STOMATA
203.7,2200,STOMATA
38.4,634,STOMATA
201.1,1320,STOMATA
201.1,1140,STOMATA
201.1,2792,STOMATA
201.3,2152,STOMATA
201.6,1445,STOMATA
201.6,1092,STOMATA
201.6,1195,STOMATA
201.6,1236,STOMATA
201.6,1113,STOMATA
201.1,1469,STOMATA
201.3,1604,STOMATA
201.6,1761,STOMATA
201.6,1600,STOMATA
201.6,1459,STOMATA
201.6,881,STOMATA
201.6,1206,STOMATA
201.6,1122,STOMATA
3.1,357,STOMATA
8.5,360,STOMATA
47.4,943,STOMATA
85.0,660,STOMATA
85.0,531,STOMATA
85.0,565,STOMATA
35.9,450,STOMATA
30.8,671,STOMATA
27.0,395,STOMATA
25.0,453,STOMATA
24.0,434,STOMATA
17.4,402,STOMATA
33.0,383,STOMATA
409.2,1548,STOMATA
317.5,332,STOMATA
311.1,340,STOMATA
316.5,388,STOMATA
277.2,498,STOMATA
219.2,889,STOMATA
226.5,615,STOMATA
131.6,513,STOMATA
106.8,828,STOMATA
106.8,662,STOMATA
106.8,734,STOMATA
48.0,636,STOMATA
40.9,356,STOMATA
24.9,389,STOMATA
12.8,434,STOMATA
42.9,424,STOMATA
186.8,809,STOMATA
13.8,334,STOMATA
9.5,351,STOMATA
2.9,280,STOMATA
2.7,279,STOMATA
2.6,285,STOMATA
1.9,280,STOMATA
1.0,278,STOMATA
97.2,1028,STOMATA
117.0,796,STOMATA
121.0,824,STOMATA
121.0,839,STOMATA
112.6,856,STOMATA
112.6,846,STOMATA
23.5,476,STOMATA
26.5,429,STOMATA
33.5,409,STOMATA
34.5,410,STOMATA
36.0,365,STOMATA
